municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 11:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 12:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 13:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 14:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 15:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 16:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 17:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 18:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 19:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 20:50:00.0;0,80
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 21:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 22:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-07 23:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 00:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 01:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 02:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 03:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 04:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 05:50:00.0;0,00
MAIRIPORÃ;352850202A;SP;Vila Nova Juqueri;-23,32171;-46,58595;2023-03-08 06:50:00.0;0,20
