,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,dia_da_semana,mes,tipo_faixa,tipo_perfil_de_terreno,iluminacao
302,923.38,camanducaia,2023-10-28,1,MG,62.7988015253314,60.645348837209305,64.18834426862216,61.90144665461121,5507,86,5182,553,0,1,Final_de_Semana,10,Acostamento,Perfil_Plano,0
303,643.224,santo_antonio_do_amparo,2023-07-30,1,MG,63.326974267968055,58.32954545454545,62.545502645502644,63.82985386221294,4508,44,4725,479,0,0,Final_de_Semana,7,Acostamento,Perfil_Plano,0
304,525.35,brumadinho,2023-07-20,1,MG,56.68332389580974,62.14596273291925,61.952870739944736,58.22373540856031,7064,161,6514,771,0,0,Final_de_Semana,7,Acostamento,Perfil_Ondulado,0
305,643.224,santo_antonio_do_amparo,2023-08-30,1,MG,63.109029779058595,67.0625,63.717546645494245,62.89336492890995,5205,64,2519,422,0,1,Final_de_Semana,8,Acostamento,Perfil_Plano,0
306,59.795,mairipora,2023-04-20,1,SP,60.59569807929911,64.2451923076923,63.046123603586324,59.02671755725191,17806,208,20857,1310,0,0,Final_de_Semana,4,Acostamento,Perfil_Montanhoso,0
307,78.2,sao_paulo,2023-11-21,1,SP,60.31583034647551,68.86080586080585,65.2550232604177,60.55216693418941,8370,546,10103,1246,0,1,Final_de_Semana,11,Terceira_faixa,Perfil_Montanhoso,0
308,70.2,mairipora,2023-07-29,0,SP,56.04237288135593,55.92424242424242,63.28688524590164,58.885416666666664,590,33,366,96,0,0,Final_de_Semana,7,Terceira_faixa,Perfil_Montanhoso,0
309,525.35,brumadinho,2023-06-09,1,MG,57.90748257301686,64.32530120481928,62.197323266986956,59.17801047120419,11333,332,11656,1528,0,0,Final_de_Semana,6,Acostamento,Perfil_Ondulado,0
310,76.4,sao_paulo,2023-04-03,0,SP,51.62167721518988,53.459154929577466,62.2797580117724,52.83502538071066,6320,710,6116,197,0,0,Final_de_Semana,4,Terceira_faixa,Perfil_Montanhoso,0
311,528.35,brumadinho,2023-02-04,0,MG,51.86914440572977,63.24566473988439,65.20038412291933,51.564748201438846,2583,173,3124,278,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
312,920.8,camanducaia,2023-06-24,1,MG,63.48598820058997,60.58695652173913,63.3803074670571,63.07847533632287,2712,161,5464,223,0,1,Final_de_Semana,6,Acostamento,Perfil_Ondulado,0
313,525.35,brumadinho,2023-09-15,1,MG,56.08512195121951,60.333333333333336,61.137616937469225,56.16147859922179,2050,63,2031,257,0,0,Final_de_Semana,9,Acostamento,Perfil_Ondulado,0
314,528.35,brumadinho,2023-07-18,0,MG,52.61235186873291,64.5105633802817,64.5880822889572,49.96238244514107,4388,142,4229,638,0,0,Final_de_Semana,7,Terceira_faixa,Perfil_Montanhoso,0
315,528.35,brumadinho,2023-03-08,0,MG,50.272478887232985,62.5,64.70995532865348,49.84324758842444,4026,137,3134,622,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
316,70.2,mairipora,2023-12-21,0,SP,50.5,50.5,50.0625,42.55882352941177,40,4,80,17,0,0,Final_de_Semana,12,Terceira_faixa,Perfil_Montanhoso,0
317,70.2,mairipora,2023-03-20,0,SP,57.26887119113574,64.03738317757009,63.648148148148145,59.24592833876221,2888,107,864,307,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
318,70.2,mairipora,2023-09-29,0,SP,55.61742763354223,66.3984375,62.68890977443609,55.31395348837209,3351,128,1064,215,0,0,Final_de_Semana,9,Terceira_faixa,Perfil_Montanhoso,0
319,528.35,brumadinho,2023-07-20,0,MG,50.02403148953802,62.50636942675159,64.23109782144383,48.388333333333335,4827,157,4682,600,0,0,Final_de_Semana,7,Terceira_faixa,Perfil_Montanhoso,0
320,643.224,santo_antonio_do_amparo,2023-07-19,1,MG,63.045782649378424,60.09090909090909,62.47396750831865,62.442714819427145,7481,77,5109,803,0,0,Final_de_Semana,7,Acostamento,Perfil_Plano,0
321,59.795,mairipora,2023-06-24,1,SP,63.17113095238095,62.476401179941,62.18168660221749,59.1198738170347,17472,339,36618,1268,0,0,Final_de_Semana,6,Acostamento,Perfil_Montanhoso,0
322,70.2,mairipora,2023-03-13,0,SP,56.630064591896655,62.99576271186441,63.12286324786325,58.502481389578165,3406,118,936,403,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
323,75.65,sao_paulo,2023-02-28,1,SP,53.782844129554654,64.5176600441501,62.4433211583616,53.60020876826722,9880,453,15332,479,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Plano,0
324,70.2,mairipora,2023-03-01,0,SP,56.74911493981591,65.24367088607595,64.17845993756504,59.551094890510946,4237,158,961,411,0,1,Final_de_Semana,3,Terceira_faixa,Perfil_Montanhoso,0
325,76.4,sao_paulo,2023-02-09,0,SP,50.22957080504365,49.02721402214022,61.25121888632281,53.067567567567565,8248,1084,7794,259,0,1,Final_de_Semana,2,Terceira_faixa,Perfil_Montanhoso,0
326,76.4,sao_paulo,2023-05-09,0,SP,51.540424857324034,54.22477064220183,62.07588639652677,53.811688311688314,6308,763,5528,231,0,0,Final_de_Semana,5,Terceira_faixa,Perfil_Montanhoso,0
327,70.2,mairipora,2023-07-19,0,SP,56.41800204568701,62.07738095238095,62.52156334231806,59.09106529209622,2933,84,742,291,0,0,Final_de_Semana,7,Terceira_faixa,Perfil_Montanhoso,0
328,493.29,betim,2023-03-03,1,MG,61.6723766893346,65.6206717000781,62.96884735202492,61.13437139561707,11617,3841,30816,1734,0,0,Final_de_Semana,3,Terceira_faixa,Perfil_Plano,1
329,73.06,sao_paulo,2023-08-18,0,SP,58.22383044714397,54.73562570462232,60.71986236355007,59.0625,7738,887,16856,304,0,0,Final_de_Semana,8,Terceira_faixa,Perfil_Ondulado,0
330,920.8,camanducaia,2023-07-04,1,MG,64.59081632653061,65.5,63.64825414997138,64.46551724137932,980,19,1747,145,0,0,Final_de_Semana,7,Acostamento,Perfil_Ondulado,0
331,73.06,sao_paulo,2023-01-08,0,SP,64.21428571428571,68.63235294117646,65.2655766134027,63.1063829787234,3045,340,16146,282,0,1,Final_de_Semana,1,Terceira_faixa,Perfil_Ondulado,0
332,493.29,betim,2023-08-08,1,MG,61.91987495886805,65.86340275899379,63.44215662937396,61.107071380920615,9117,3697,25206,1499,0,0,Final_de_Semana,8,Terceira_faixa,Perfil_Plano,1
333,73.06,sao_paulo,2023-04-14,0,SP,63.02370003537319,68.88636363636364,65.1321581705574,62.1,8481,704,20990,375,0,1,Final_de_Semana,4,Terceira_faixa,Perfil_Ondulado,0
