,km,municipio,data,sentido_crescente,uf,velocidade_Comercial,velocidade_Moto,velocidade_Passeio,velocidade_Ônibus,volume_Comercial,volume_Moto,volume_Passeio,volume_Ônibus,acidentes,chuva,mes,iluminacao,dia_da_semana_Final_de_Semana,tipo_faixa_Terceira_faixa,tipo_perfil_de_terreno_Perfil_Ondulado,tipo_perfil_de_terreno_Perfil_Plano
671,73.06,sao_paulo,2023-08-10,0,SP,0.8431378244131312,1.0329671696662643,0.9036388894366927,0.8056046226845334,-0.6716678251972725,-0.42404926486826566,-0.5193625295863662,-0.7155704778405578,0,0,8,0,0,1,1,0
672,528.35,brumadinho,2023-04-08,0,MG,-1.1712160969134815,0.5046378780962384,0.7509870751929664,-1.5254700042313554,-1.1685782631919117,-0.518984596441456,-0.8321938645899148,-0.5870621101086293,0,0,4,0,0,1,0,0
673,643.224,santo_antonio_do_amparo,2023-10-20,1,MG,0.7078503757153276,0.4122764383449432,0.3780489751797089,0.9954685876691243,-0.6456247886715825,-0.570004264429769,-0.9146653964695297,-0.524513789531142,0,0,10,0,0,0,0,1
674,920.8,camanducaia,2023-04-14,1,MG,1.1246910973142752,-0.12197683899367127,0.4975746594774465,1.35841737712415,-1.1220728408246081,-0.5958370077149909,-0.8040094187436776,-0.7087470246866502,0,1,4,0,0,0,1,0
675,59.795,mairipora,2023-01-01,1,SP,-0.43169818363031204,-1.397140827642833,-2.4925441668342687,-0.9756920346127274,-0.7274743320380368,-0.44213218516792097,1.066332827058189,-0.6325517978013474,1,1,1,0,0,0,0,0
676,59.795,mairipora,2023-01-18,1,SP,0.023890957070580098,-0.024497061083549897,-0.3041026920113938,-0.07129162589406385,0.4574838298808595,-0.3659255924765165,0.16915465743577734,0.2806536826299678,1,1,1,0,0,0,0,0
677,59.795,mairipora,2023-01-22,1,SP,-0.567261895003454,-0.5657433891856453,-2.8761058388381664,-0.8709699663818364,-0.3472925041853297,-0.42469508345039625,0.9504723351845943,-0.36984885137590057,1,1,1,0,0,0,0,0
678,59.795,mairipora,2023-01-24,1,SP,0.3069966270504157,0.38378891409627824,0.13268998582776512,0.08068067754021703,0.4151638955266132,-0.4072579817328715,0.1597865319698405,0.2920261045531473,1,1,1,0,0,0,0,0
679,59.795,mairipora,2023-02-04,1,SP,0.8425979706969537,0.2686536853920516,0.10734732326313572,0.2377986778209749,0.24565163099779147,-0.4828187558421454,0.2620352176108775,-0.26408532749033103,1,1,2,0,0,0,0,0
680,59.795,mairipora,2023-02-06,1,SP,0.44367876503928844,0.1721155635399756,0.13186162506457633,-0.08721385662969323,1.0511255463994902,-0.45311110106414026,-0.007398476345339828,-0.01048031860342783,1,1,2,0,0,0,0,0
681,59.795,mairipora,2023-02-08,1,SP,0.5175393314594974,0.5533295046462895,0.4761794528072961,0.04535290175065271,1.951703050542325,-0.38982088001534676,0.215354729178047,0.31477094839950637,1,1,2,0,0,0,0,0
682,59.795,mairipora,2023-02-24,1,SP,0.6009739682118805,0.4233038670863613,0.3907171931160491,0.19508213370966082,2.2472450096865395,-0.5312551495019363,0.11358646022757085,0.26132056536056264,1,1,2,0,0,0,0,0
683,59.795,mairipora,2023-03-04,1,SP,0.4084648564834318,-3.7533946461670786,-0.927931541424413,-0.24687786161171593,0.6832676554741186,-0.3659255924765165,0.381418765215252,-0.30957501518304914,1,1,3,0,0,0,0,0
684,59.795,mairipora,2023-03-13,1,SP,0.14036705432762117,-0.5244811791981474,-0.21777377539806403,-0.6176493393912453,2.227247678068599,-0.5086514991273672,0.3253701513164846,0.40461308159262455,1,1,3,0,0,0,0,0
685,59.795,mairipora,2023-03-18,1,SP,0.7705721291641475,0.19657254978372074,0.0587298081313456,0.10501774669866168,1.1843635814818152,-0.4970267646490174,0.5950440536179824,-0.1355769597584025,1,0,3,0,0,0,0,0
686,59.795,mairipora,2023-03-20,1,SP,0.4461196014434338,0.1324874905103441,0.25223792717748195,-0.07543819024640827,2.7827549482460405,-0.5125264106201505,0.2670795928617666,0.3488882141690449,1,1,3,0,0,0,0,0
687,59.795,mairipora,2023-03-23,1,SP,-0.24750502276303243,-1.9600614212666054,-1.2173023406184387,-0.7857144594561087,1.4087522444040552,-0.49121439740984246,-0.0719344517773491,-0.009343076411109878,1,0,3,0,0,0,0,0
688,59.795,mairipora,2023-03-24,1,SP,-0.3216211974870028,-4.255578733682786,-1.5910858524724227,-0.9119115521098733,1.3417844361951379,-0.2658237122462819,-0.02517389389609176,0.021362462781474818,1,0,3,0,0,0,0,0
689,59.795,mairipora,2023-03-25,1,SP,0.38433656968473734,-2.67832680195496,-1.1074192818388156,-0.710375352267403,0.6279262028570273,-0.4201743533754824,0.20606667316053698,-0.2845556869520542,1,0,3,0,0,0,0,0
